Vietnam,VNM,2.09,1.91,1.97,1.93,1.9,1.93,2.87,2.29,2.33,2.26,2.76,2.12,2.25,2.14,2.1,2.09,2.03,1.93,1.74,1.11,1,1.03,1.32,1.26,1.85,1.85,1.87,1.16,2.04,2.39,2.17
Mauritania,MRT,9.93,9.92,9.88,9.93,9.83,9.84,9.89,9.83,9.81,9.85,9.83,9.82,9.79,9.81,9.79,9.73,9.88,9.87,9.87,9.86,9.86,9.86,9.96,10.05,10.14,10.26,10.34,10.39,10.39,11.27,11.46
East Asia & Pacific,EAS,2.45,2.43,2.69,2.96,3.03,3.15,3.24,3.53,3.63,3.54,3.94,4.24,4.46,4.41,4.45,4.33,4.28,4.36,4.44,4.21,4.12,4.04,4.03,4.01,4.07,3.98,3.86,3.73,3.82,4.32,4.2
IDA only,IDX,3.93,4.01,4.08,4.13,4.15,4.22,4.27,4.37,4.48,4.59,4.66,4.74,4.8,4.72,4.65,4.52,4.61,4.67,4.71,4.61,4.67,4.66,4.6,4.57,4.6,4.56,4.56,4.54,4.53,5.31,5.53
Azerbaijan,AZE,0.9,1.8,4.5,6.3,7.2,8.1,9.1,10,10.9,11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5,5,4.9,4.85,6.46,6.58
Burundi,BDI,1.51,1.53,1.56,1.56,1.58,1.59,1.57,1.56,1.58,1.59,1.59,1.59,1.61,1.6,1.62,1.61,1.63,1.63,1.62,1.61,1.6,1.59,1.58,1.57,1.6,1.59,1.59,1.59,1.59,1.71,1.79
Australia,AUS,9.58,10.73,10.87,9.72,8.47,8.51,8.36,7.68,6.87,6.28,6.74,6.37,5.93,5.39,5.03,4.78,4.38,4.23,5.56,5.21,5.08,5.22,5.66,6.08,6.05,5.71,5.59,5.3,5.16,6.46,5.11
Somalia,SOM,19.19,19.27,19.16,19.33,19.14,19.1,19.14,19.08,19.06,19.05,19.04,19.02,19.02,19.02,19.01,19.01,18.9,18.92,18.94,18.96,18.98,18.97,18.95,18.93,18.9,18.89,18.88,18.85,18.83,19.72,19.86
"Congo, Rep.",COG,20.07,20.05,20.07,20.09,20,19.98,20.01,19.96,19.99,19.9,19.91,19.88,19.9,19.85,19.8,19.86,20.03,19.98,20,20.07,20.18,20.18,20.32,20.31,20.45,20.56,20.56,20.61,20.62,22.84,23.01
Syrian Arab Republic,SYR,6.75,7.03,7.4,7.5,7.2,7.29,7.39,7.45,7.6,9.6,11.63,10.93,10.28,9.54,8.85,8.17,8.42,10.94,8.14,8.61,8.7,8.81,8.83,8.72,8.71,8.73,8.75,8.76,8.77,10.26,10.57
Netherlands,NLD,7.28,5.56,6.29,7.16,7.16,6.42,5.51,4.39,3.62,2.73,2.12,2.55,3.59,4.65,5.87,5,4.15,3.65,4.35,4.99,4.98,5.82,7.24,7.42,6.87,6.01,4.84,3.83,3.38,3.82,4.01
Bosnia and Herzegovina,BIH,17.55,18.3,19.32,20.71,21.77,22.77,23.61,24.49,25.09,25.78,26.61,27.55,28.36,29.37,30.41,31.11,28.98,23.41,24.07,27.31,27.58,28.01,27.49,27.52,27.69,25.41,20.53,18.4,15.69,15.27,15.22
Guinea,GIN,4.45,4.46,4.45,4.47,4.48,4.49,4.49,4.52,4.53,4.55,4.55,4.55,4.62,4.63,4.65,4.7,4.67,4.72,4.81,4.77,4.79,4.82,4.87,4.9,4.92,4.88,4.91,4.98,5.02,6.1,6.34
Kyrgyz Republic,KGZ,1,1.1,3.4,4.7,5.6,7.3,7.5,8.9,8.4,7.54,7.84,12.55,9.92,8.53,8.11,8.27,8.1,8.22,8.41,8.64,8.53,8.43,8.33,8.05,7.56,7.21,6.89,6.89,6.92,8.71,9.1
High income,HIC,6.75,7.32,7.85,7.85,7.45,7.42,7.13,7.05,6.92,6.53,6.5,7.02,7.13,6.97,6.67,6.14,5.61,5.86,7.94,8.19,7.86,7.9,7.81,7.21,6.63,6.15,5.59,5.07,4.77,6.49,5.67
Panama,PAN,3.73,3.76,3.8,3.81,3.79,3.78,3.77,3.77,3.82,3.81,3.82,3.79,3.79,3.74,3.75,3.7,3.68,3.74,3.85,3.72,2.38,2.39,2.29,2.71,2.98,3.26,3.86,3.83,4.73,12.85,12.09
Cyprus,CYP,3,2.09,2.7,2.7,2.6,3.1,3.4,3.3,5.7,4.97,3.98,3.3,4.14,4.33,5.3,4.54,3.92,3.65,5.36,6.26,7.86,11.8,15.87,16.09,14.91,12.95,11.05,8.37,7.07,7.59,6.13
"Egypt, Arab Rep.",EGY,9.38,8.92,10.92,10.93,11.04,9,8.37,8.03,7.95,8.98,9.26,10.01,11.01,10.32,11.2,10.49,8.8,8.52,9.09,8.76,11.85,12.6,13.15,13.1,13.05,12.41,11.74,9.82,7.84,9.17,9.33
Mauritius,MUS,9.63,9.6,9.61,9.6,9.59,9.5,9.43,9.35,9.3,9.18,9.14,8.2,8.25,8.34,9.52,9.04,8.48,7.17,7.26,7.65,7.45,7.47,7.32,7.47,7.41,6.81,6.75,6.43,6.33,7.41,7.41
"Congo, Dem. Rep.",COD,2.93,2.94,2.94,2.92,2.9,2.9,2.91,2.9,2.9,2.9,2.89,2.87,2.86,2.85,2.85,3.08,3.31,3.55,3.79,4.01,4.25,4.49,4.48,4.46,4.47,4.48,4.47,4.45,4.45,5.27,5.43
